S9,S5,S1,S8,S4,S3
PPM1H,1528.46574918725,477.28329093746,1285.75141180605,1032.95537975161,3.85802827031934e-06,3.04235723471759e-05
BICC1,6.4171764778892e-14,461.847084249999,1123.05266379266,755.889507554998,8.68784989608091e-21,0.00455879790981621
LOC150622,824.477812922829,806.844137163096,645.230415354087,514.456398139854,1.28488920252291e-22,43.7067366803899
AXIN2,1080.40006530959,1075.26558168381,11.9713898592819,1078.32227523881,2.50896664950562e-07,34.5690328970336
SAMD4A,0.00914984058872499,86.5853349073343,406.731575339873,899.037629387288,0.108005019797571,91.8934654979896
PLCD1,740.701730000762,1035.60367287453,360.755896847173,0.0151211508515438,1313.38273362549,0.0445200600747041
KIF23,0.774188589382251,602.118714821341,520.870599233606,1299.59687713669,277.324813553394,4.37240078677173e-12
NAT14,1357.29727661147,0.442762451207974,571.08866355572,407.748590447239,3047.23906800643,1961.79205054903
SACS,4.57379903806759,808.812483860695,832.380647461496,922.402884308712,0.00232219771729574,8.16276190146905e-22
ERO1L,1.12726100191033e-06,353.508755974354,1584.73967073598,328.512756196256,0.001522240757127,479.351312494961
DDX60L,5.56373495483631e-05,0.0888725392567864,550.160679055024,535.943753214538,1.23796846697684e-06,2981.38698251462
GLI3,0.0239845270413209,846.290109194211,259.356536345177,1316.95403426833,513.760237033052,8.94592638757322e-11
KLHL22,917.528401690685,11.2661991681326,801.650242583112,638.783959062058,3796.14517796808,1765.30734386721
NLRP1,144.81073312347,494.514310226755,603.386071682093,769.959890667585,201.074569546696,111.488780747964
OTUD1,566.053874606491,478.975576588413,440.199190986627,0.584376447077634,2.06994319079172e-05,16.0079291433268
LARP6,562.508045796547,958.321292190928,598.116596581244,1.45027829431344e-05,189.381344637509,8.89597219338613e-21
RASAL2,0.217607700072488,1077.95679941847,580.98450070204,926.766328707481,4.84829919567066e-15,3.71981869382744e-21
SLC2A5,377.292109256426,1028.23316997866,595.044848726089,2.445878121916e-07,485.663924111651,597.194081386323
MAP3K8,735.143450214675,675.201718094816,227.212857039386,4.00711399625491e-06,1.58869106562429e-15,620.539353530921
SPRY2,898.332828845006,0.902344979189048,228.616407411189,1542.01969930802,1.15744585774246e-05,4.72070499873112e-06
FAM176B,998.520875132927,0.000964818982905493,77.2783862445147,561.937657124029,3485.84154271151,1097.93426370806
C1orf21,567.882068991979,755.901880306405,547.313607078901,888.659650387525,2202.66116695229,1.05628401231633
LACTB2,0.00199922868710093,790.548881965154,488.313736948559,1.81785766102124e-07,122.289169965479,1017.4644915482
